"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code","acquisition_number"
"319875","","2015-11-09","","NE1","2015-10-06","","10:0823 ","","HASTINGS","ALLENS FOOD MART","NE","40822011143","NFY1212JE"
"319876","","2015-11-09","","NE1","2015-10-06","","10:0823 ","","HASTINGS","ALLENS FOOD MART","NE","40822011143","NFY1212JF"
"319880","","2015-11-02","","PA1","2015-09-27","","1 231 02160132","","PITTSBURGH","SHOP N SAVE","PA","40822011143","NFY1212JM"
"319881","","2015-11-02","","AZ1","2015-09-27","","1 231 165302","","TUCSON","BASHAS MARKET","AZ","40822011143","NFY1212K6"
"319886","","2015-11-13","","IA","2015-09-19","","3:38:52 ","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143","NFY1212JA"
"319887","","2015-11-13","","IA","2015-09-19","","3:38:42 AM","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143","NFY1212JB"
"319888","","2015-11-13","","IA","2015-09-19","","3:38:54 AM","","ESTHERVILLE","HY VEE FOOD STORE","IA","40822011143","NFY1212JC"
"319889","","2015-10-12","","TX1","2015-09-26","","5:50:03 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143","NFY1214TH"
"319890","","2015-10-12","","TX1","2015-09-26","","5:52:40 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143","NFY1214TI"
"319891","","2015-10-12","","TX1","2015-09-26","","5:50:02 PM","","HOUSTON","RANDALLS FOOD MARKET","TX","40822011143","NFY1214TJ"
"319895","OPEN NATURE ORIGINAL","2015-11-26","","CA2","2015-10-06","","6:57:00 AM","","BONITA","VONS MARKET","CA","79893110196","NFY1212KV"
"319896","OPEN NATURE ORIGINAL","2015-11-26","","CA2","2015-10-06","","6:57:00 AM","","BONITA","VONS MARKET","CA","79893110196","NFY1212KW"
"319897","HYVEE SELECT ORIGINAL","2015-10-25","","IA","2015-09-19","","2024L3","","ESTHERVILLE","HY VEE FOOD STORE","IA","75450062366","NFY1212LA"
"319898","HYVEE SELECT ORIGINAL","2015-10-25","","IA","2015-09-19","","2024L3","","ESTHERVILLE","HY VEE FOOD STORE","IA","75450062366","NFY1212LB"
"319902","","2015-11-13","","IN1","2015-09-29","","12:3042","","NEWBURGH","SCHNUCK MARKET","IN","40822011143","NFY1212JI"
"319903","","2015-11-13","","IN1","2015-09-29","","12:3041","","NEWBURGH","SCHNUCK MARKET","IN","40822011143","NFY1212JJ"
"319904","","2015-11-02","","CA1","2015-09-27","","142841","","PALMDALE","STATER BROS MKT","CA","40822011143","NFY1212JU"
"319905","","2015-11-02","","CA1","2015-09-27","","142845","","PALMDALE","STATER BROS MKT","CA","40822011143","NFY1212JV"
"319922","","2015-11-06","","GA1","2015-09-29","","175822 ","","LOCUST GROVE","INGLES SUPERMARKET","GA","40822011143","NFY1212JQ"
"319923","","2015-11-06","","GA1","2015-09-29","","175823","","LOCUST GROVE","INGLES SUPERMARKET","GA","40822011143","NFY1212JR"
"319924","","2015-11-09","","NJ1","2015-09-28","","232044","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","40822011143","NFY1212K2"
"319925","","2015-11-09","","NJ1","2015-09-28","","174725","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","40822011143","NFY1212K3"
"319940","","2015-11-13","","CA2","2015-10-06","","11:3211 ","","BONITA ","VONS MARKET","CA","40822011143","NFY1212KB"
"319941","","2015-11-13","","CA2","2015-10-06","","11:3213","","BONITA ","VONS MARKET","CA","40822011143","NFY1212KC"
"319942","","2015-11-16","","KY1","2015-09-29","","7:09:11 PM","","HARRODSBURG","KROGER","KY","40822011143","NFY1212JY"
"319943","","2015-11-16","","KY1","2015-09-29","","7:09:11 PM","","HARRODSBURG","KROGER","KY","40822011143","NFY1212JZ"
"319959","","2015-10-15","","GA1","2015-09-29","","0542-208","","LOCUST GROVE","INGLES SUPERMARKET","GA","78902675305","NFY1212KF"
"319960","","2015-10-15","","GA1","2015-09-29","","0542-208","","LOCUST GROVE","INGLES SUPERMARKET","GA","78902675305","NFY1212KG"
"319961","","2015-10-15","","GA1","2015-09-29","","0542-208","","LOCUST GROVE","INGLES SUPERMARKET","GA","78902675305","NFY1212KH"
"319962","","2015-10-24","","NJ1","2015-09-28","","0637-217","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","78902675305","NFY1212KJ"
"319963","","2015-10-24","","NJ1","2015-09-28","","0810-217","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","78902675305","NFY1212KK"
"319964","","2015-10-24","","NJ1","2015-09-28","","0812-217","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","78902675305","NFY1212KL"
"319979","PITA PAL ORIGINAL","2015-11-07","","TX1","2015-09-26","","9:41:00 AM","","HOUSTON","RANDALLS FOOD MARKET","TX","850157000688","NFY1212L6"
"319980","ATHENOS HUMMUS ORIGINAL","2015-12-03","","CA1","2015-09-27","","XMN 7 1553","","PALMDALE","STATER BROS MKT","CA","25400000436","NFY1212L8"
"319985","","2015-11-07","","PA1","2015-09-27","","0240 231","","PITTSBURGH","GIANT EAGLE MARKET","PA","78902675305","NFY1212KN"
"319986","","2015-11-07","","PA1","2015-09-27","","0240 231","","PITTSBURGH","GIANT EAGLE MARKET","PA","78902675305","NFY1212KO"
"319987","","2015-11-07","","PA1","2015-09-27","","0240 231","","PITTSBURGH","GIANT EAGLE MARKET","PA","78902675305","NFY1212KP"
"319988","","2015-11-05","","KY1","2015-09-29","","1413 229","","HARRODSBURG","WALMART SUPERCENTER","KY","78902675305","NFY1212KR"
"319989","","2015-11-05","","KY1","2015-09-29","","1413 229","","HARRODSBURG","WALMART SUPERCENTER","KY","78902675305","NFY1212KS"
"319990","","2015-11-05","","KY1","2015-09-29","","1413 229","","HARRODSBURG","WALMART SUPERCENTER","KY","78902675305","NFY1212KT"
